S.NO,Job Role,Questions,Category,Answers,Ratings
32,Nurse,how do you handle workplace stress,Behavioral,"Though it can be tricky depending on my schedule, I do try to exercise several times per week. I've found that working out regularly is one of the best ways I can take care of myself and regulate my moods. I have several breathing exercises that I use to get through stressful shifts. If I have time, I'll also spend five to ten minutes meditating when I'm having a tough day.",Good
33,Nurse,are you comfortable working with other doctors and nurses,Conclusion,"I find I work well under a variety of conditions and circumstances, and I take pride in my flexibility. I really enjoy working in a team because I often find that different viewpoints can help me find solutions to a problem I might not think of on my own. I also enjoy self-motivating and am equally comfortable working alone.",Good
34,Nurse,are you comfortable working with other doctors and nurses,Conclusion,"I greatly enjoy working with other staff members â€” working and communicating with other staff members is crucial to providing proper patient care. At my last position, I was supposed to give a patient another dose of his medication. However, I didn't realize that his doctor had changed the dosage until I happened to run into her before heading into the patient's room. She had made note of it on his chart, but talking to her about the change helped me understand more about why she shifted the dosage and how I could give better care to the patient.",Good
35,Nurse,how do you hold working with other nurses staff and doctors,Communication,"It is a critical question for a hiring manager or recruiter to see how you can collaborate well with other team members. Don't say something directly like Ã¢â‚¬Å“I am a huge team playerÃ¢â‚¬Â or anything which can state your overconfidence. Instead, show how you've been one by giving tangible examples of ways you've positively worked with and contributed to a team.",Good
36,Nurse,how do you hold working with other nurses staff and doctors,Communication,"I thrive while working as a part of a team. I have a strong ability to adapt and am guided by knowing that a healthy and cooperative team provides the best outcomes for patients. Everyone has a different way of looking at a problem, and I believe that we should be open to multiple perspectives. One of my favorite parts about being on a team is celebrating our successes, whether individual or together. Though I feel confident in my abilities to work alone, working with a team always teaches me something new.",Good
37,Nurse,how well do you work with other nurses doctors and staff,Communication,"During my clinical training in the emergency response room, I learned how important it is to communicate well with other nurses. For example, I make sure to consult with a senior nurse or doctor whenever I administer a new treatment or medicine to patients. Often, doctors know the medical history of their patients in detail, so I find it best to consult with them rather than go by the demands of the patient.",Good
38,Nurse,how well do you work with other nurses doctors and staff,Communication,"Nurses need to be able to work well with other medical staff members. When answering this question, discuss how patient care works best when everyone works together. You may also want to discuss how important it is for nurses and doctors to communicate with each other properly so they can provide the best patient care.",Good
39,Nurse,what's the hardest thing about being a nurse,Introduction,"For me, the hardest thing about nursing is the physical side. Being on my feet for an entire 12-hour shift, working night shifts, and lifting patients takes a toll. I take weekly yoga classes and do CrossFit for stamina and endurance. The stronger I am physically, the better I can deal with whatever nursing throws my way.",Good
40,Nurse,what's the hardest thing about being a nurse,Introduction,"I have a strong drive for nursing and so far in my career, I have proven myself to be competent enough to take on the challenges of this profession. The fact that I get to help people every day is what encourages me to come to work day after day. It is the motivating force that pushes me to become a better professional.
I try very hard to stay updated with the latest trends in the healthcare industry. I view the challenges of my job as a learning curve and I sincerely believe that it has helped me learn and grow as a professional. Lastly, I believe that I have all the qualifications and requisite skills to take on this role.",Good
41,Nurse,what do you find is the hardest part about being a nurse,Conclusion,"I think the hardest thing I've had to deal with is feeling helpless. While it's my job to provide as much care and comfort as medically possible, there are times when you just can't do more. Seeing someone in pain or feeling miserable and knowing there's nothing you can do to help is the most difficult thing I deal with. I am a nurse because I genuinely care about people and want to help, and when I can't, that's hard.",Good
42,Nurse,what do you think is the hardest thing about being a nurse,Introduction,"For me, the hardest thing about nursing is the physical elevation. Being on my feet for long 12 hours or working night shifts, and lifting patients take a toll. To cope up with my body strength, I prefer to take yoga classes weekly and do cross-fit for determination and endurance. The more I will be fit, the better I can perform.",Good
43,Nurse,what do you think is the hardest thing about being a nurse,Introduction,"Seeing those patients you took care of die and how devastating it is to the family"" is the hardest part of being a nurse",Poor
44,Nurse,what do you think is the hardest thing about being a nurse,Introduction,"It is often hard to explain to people what we do,"" said a nurse from Pennsylvania who wished to stay anonymous. ""There is a notion that I'm 'just a nurse' and I struggle to explain to people that this is what I want. No, this is not a step to medical school. No, I never thought about being a [physician assistant]. I am a nurse, and I am proud of that.""",Good
45,Nurse,what do you think is the hardest thing about being a nurse,Introduction,"The hardest part about being a nurse for Beth, a nurse from Wisconsin, is the ""total mental, emotional and physical exhaustion by the end of a shift.""
""Then getting up to do it all over again 6 hours later,"" she adds.",Average
46,Nurse,what do you think is the hardest thing about being a nurse,Introduction,"Leslie, a licensed practical nurse from Florida, said the hardest part of her job is the ""lack of respect and verbal/physical abuse from families, management, fellow healthcare workers.""
Amy, a nurse from Texas, also said nurses ""tolerate a lot of verbal and physical abuse from patients and sometimes physicians.""",Average
47,Nurse,what do you think is the hardest thing about being a nurse,Introduction,"When patients and their family members question every move you make or think that their quick Google search makes them just as much of an expert as I am,"" said a nurse from Pennsylvania who wished to stay anonymous.
Nat, a nurse from Massachusetts, also gets frustrated when her patients rely on the internet to give them medical advice: ""I didn't know Google had a nursing license.""
Next time you get sick, do yourself a favor and tell your nurse your symptoms â€” not WebMD.",Good
48,Medical Assistant,why would you be the best candidate to work here,Conclusion,I have a lot of experience and good customer service . I will not disappoint the company,Poor
49,Medical Assistant,why would you be the best candidate to work here,Conclusion,"When I first read about this position, I noticed how closely my training aligns with what you are seeking. For example, while completing my coursework and practicum hours in supervising lab tech reporting, I learned how important it is to be an active listener. I had many opportunities to use my interpersonal communication skills while overseeing tech interactions in the clinic.",Good
50,Medical Assistant,why would you be the best candidate to work here,Conclusion,"I'm ready to get to work as a member of your new triage team. In my last position, I was in charge of triage shift scheduling as well as overseeing the hospital's interdepartmental triage coordination. I implemented a new scheduling matrix to help supervisors and duty nurses coordinate requests with calendar assignments.",Good
51,Medical Assistant,why would you be the best candidate to work here,Conclusion,"My training and skills match those you advertised, specifically my competencies inpatient intake. For example, I managed our transition to a new records keeping system in my previous position at the Health Department's satellite offices.",Average
52,Nurse,why are you the best nursing candidate for this position,Conclusion,"I've been working as a Registered Nurse for the past -- years and loved every day of it. This is more than a job, it's a passion, and I've used that passion to drive me forward. I make sure to stay abreast of all the current advancements in my field, am continuing to further my education, and am constantly striving to make sure that I stay on top of emerging trends and technology. I enjoy the challenges that come with this job and take every opportunity to learn and grow.",Good
53,Nurse,why are you the best nursing candidate for this position,Conclusion,"You should hire me because I have a particular motivation to work exactly for your hospital. First of all, I really like your mission statement, the fact that you work with vulnerable communities here, and that you basically don't refuse anyone. In the age of inequality we are living right now, it is something truly special. Secondly, I live just 10 minutes walking distance from here, which would make it easy for me to come to work as a last minute replacement, or if a pair of helping hands is needed in emergency situations, basically anytime. And last but not least I know the management of this place, and really like the way in which they run it. I basically handpicked this offer, and believe my motivation is stronger than that of other job candidates.",Good
54,Nurse,why are you the best nursing candidate for this position,Conclusion,"Speaking honestly, I believe I stand out with my level of experience. Certainly I haven't met other job candidates, but I've worked in the ICU for ten years already, and that's an experience hard to beat. Of course, experience is not everything. Good nurse needs right attitude, empathy, and also a strong mind, to manage to handle and process all they see in the job. But I believe to have all these things in me, plus my extensive experience. Perhaps it makes from me the best candidate for the job.",Good
55,Nurse,why are you the best nursing candidate for this position,Conclusion,"You should hire me because of my attitude to this work. I see nursing as my personal mission, something I want to do for the rest of my life. I do not care about money really. Other things matter to me. If you hire me, you can be sure I will give my 100% every day at work, and I will try to become the best nurse I can be. Of course, I know I am just starting my professional career. I do not have much to show here. But I have all the motivation in the world, and I am as eager to start as anyone. If you give me a chance to prove it in your clinic, you won't end up disappointed.",Good
56,Nurse,why are you the best nursing candidate for this position,Conclusion,"To be honest, I cannot say whether you should hire me, or one of the other job candidates. I have my qualities, and I am sure you've had time to understand them in this interview. And I would love to work for your practice. But I am sure other job candidates also have their qualities and their dreams. And I am humble enough to admit it isn't impossible that some of them are even better than me. Anyway, you know better than anyone else who exactly you are looking for. I tried my best to answer all your questions honestly, and to show you who I am. Now it is up to you to consider whether it makes sense to hire me, or you should opt for one of the other candidates. I cannot give you an advice here.",Good
57,Nurse,why are you the best nursing candidate for this position,Conclusion,"A better question would be why you shouldn't. I meet all job criteria, and I've been working in the same field for seven years already. What's more, I sincerely believe to have the right personality for the job of a correctional nurse, because I can keep my distance, and I am a person who can stick to the rules in 100% of cases. If there is any reason why you should not give me a chance, I cannot see it from my perspective, which is certainly slightly biased.",Average
58,Nurse,why are you the best nursing candidate for this position,Conclusion,"Maybe you should choose me because of my recommendations. Please have a look at them. As you can see, my former managers and employers say just the best things about me, and all of them were actually sad to see me leave. But life is a change, I married again and moved, and now I am looking for a new job in this city. New job, but with the same attitude, motivation, and goalsâ€“to be the best nurse I can be, for each and every patient I meet, just like I've done it in my former hospital.",Good
59,Nurse,why are you the best nursing candidate for this position,Conclusion,"If for nothing else, you should hire me simply because you need me here. Let's be honest. One doesn't have to be an insider to quickly spot that this ward is heavily understaffed. Maybe I do not have the best resume, or the desired level of experience. But I can assure you that I have the right attitude, I do not mind to work in a psychiatric ward, and I really want to bring some value to your team. With the low number of nurses working in the ward currently, can you really afford to refuse me?",Poor
60,Nurse,why are you the best nursing candidate for this position,Conclusion,"I've been working as a Registered Nurse for the past eight years and loved every day of it. This is more than a job, it's a passion, and I've used that passion to drive me forward. I make sure to stay abreast of all the current advancements in my field, am continuing to further my education, and am constantly striving to make sure that I stay on top of emerging trends and technology. I enjoy the challenges that come with this job and take every opportunity to learn and grow.Ã¢â‚¬Â",Good
61,All,tell me about yourself,Introduction,"When asked about yourself in a job interview, it is important to give an honest but positive answer. You want to avoid sounding like you are bragging, but you also want to make sure that you highlight your best qualities.",Poor
62,Home Health Aide,tell me about yourself,Introduction,I did so.,Poor
63,Home Health Aide,tell me about yourself that is not on your cv,Communication,Just tell them about your hobbies and qualities of the position you applied.,Poor
64,Medical Assistant,tell me about you,Communication,"I'm a foreign graduated medical doctor, I been working as medical assistant",Average
65,Medical Assistant,tell me about your education,Conclusion,I went to a medical assistant school and I am NHA certified now.,Average
66,Medical Assistant,tell me about yourself,Introduction,"I have a passion for the healthcare field which is one reason why I became medical assistant, however I always knew that I wanted a more behind the scenes position so I returned to school for my associates in HIT/EHR thinking I could use both to make me more marketable",Good
67,Medical Assistant,tell me about yourself,Introduction,"I have always been a care taker since a child. I know this is my calling and know that it has to be a calling in order to treat it so much more than just a job. I find it rewarding and by that, I do not mean the money. This is where my career is suppose to be and I won't ever give because I want it. I know through my leading experiences (hands on especially) this is where I will be. The more training, the better, and I mean that by saying I take absolutely everything in by my actions in caring for the patients/residents as if they are my own. That is why I will not give up because there is such a shortage on the one's who want to be there for more than the money.",Good
68,Medical Assistant,tell me about yourself,Introduction,I really want to be baptist and its my first time,Poor
69,Medical Assistant,tell me about yourself,Introduction,I am a certified medical assistant with a very strong drive to help others.,Average
70,Medical Assistant,tell me about yourself,Introduction,"Work experience, school, what I'm working towards and relative qualifications",Poor
71,Medical Assistant,tell me about yourself,Introduction,How do you handle a crisis?,Poor
72,Medical Assistant,tell me about yourself,Introduction,"I explained were I went to college at, my future goals with going back to college, and why I was so inspired to work in the medical field.",Poor
73,Medical Assistant,tell them alittle about yourself,Introduction,"I'm a people person, a team player, reliable and love what I do",Average
74,Medical Assistant,tell them alittle about yourself,Introduction,"IÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢m been Doctor for more than 20 years, arrive to EEUU in 2017. I study RN in EDP University in PR, I love health care work.",Good
75,Nurse,tell me about yourself,Introduction,"I'm a motivated self-starter who really enjoys the hands-on and human aspect of our industry. To me, there's nothing more satisfying than helping people out when they need it the most. Having spent the past five years in the medical field working directly with patients has shown me just how far actively listening to a patient can go in helping make someone comfortable. My most recent position included working with patients directly in admissions which meant I was often the first face they'd see when they came in and the last on their way out, as well as everything in-between. During that time, I learned that addressing their concerns and making sure they felt their voices were being heard was just as important to them as receiving quality care. As a result, I helped to establish a patient advocacy program to help teach other nurses those same skills.",Good
76,Nurse,tell me about yourself,Introduction,"My name is Marry, I'm from Bristol, and I've always wanted to work in healthcare. Following the role model I had in my mother, I decided to pursue a career in nursing, and did what I could to arrive at this point, when I am finally a registered nurse and can apply for a job with your amazing clinic. If I should characterize myself, I'd say that I am responsible, compassionate, and detail oriented, though sometimes impatient and too hard on myself. In my free time I enjoy going for a walk with a dog or for a hike in the hills nearby. I also love Italian cuisine. Would you like me to elaborate more on my education, or on anything else?",Good
77,Nurse,tell me about yourself,Introduction,"Well, where to start? My name is Mark, and I've been working as a pediatric nurse for past three years. I've really enjoyed my time with the children, and believe that I've learned how to work with this particular demographic group, and address the main challenges child nursing presents. But I also came to a conclusion that I would prefer hospital setting to ambulant care, and decided to submit my job application with your children's hospital. Just like anyone else, I have my strengths and weaknesses, better and worse days. But I keep learning and always try my best for every child, regardless of how I feel on the given day. And I am a real bookworm, often spending long evenings reading true crime stories or biographies of successful people. That makes for a short introduction, please feel free to ask about any details.",Good
78,Nurse,tell me about yourself,Introduction,"I'm Sara, 24 at the moment, finally trying to realize my dream of becoming a nurse, applying for a place at your nursing school. I have always been a responsible student, earning an average GPA of 3.4, because I knew that good grades were essential if I wanted to get to one of the best nursing schools in the country. Other than that I am just a normal woman, with passion for nursing & movement, fighting my daily battles, trying to find my place in life. I currently live with my partner Carlos, a med school student. I think that I have found quite a good balance in life, with just one part of the puzzle missingâ€“the coveted place in your study program.",Good
79,Nurse,tell me about yourself,Introduction,"What probably strikes you is my age, considering this is my very first application for any job in nursing. So let me tell you my personal story, in short. I've started as a banker, wanting to earn big, and enjoy luxurious lifestyle. And I did earn well, and could afford nice things. But the more I bought, the bigger void I felt inside. What's more, we were working impossible hours, sometimes up to 90 hours a week, and it really drained me, both physically and emotionally. I decided to change my career, and for once actually do something good for others, instead of just trying to earn more money, on an expense of someone else. I managed to graduate from nursing school, earn my certification, and now I sit here in front of you, looking for a new chapter, for a job with a meaningful purpose. That's my story in short, and I am ready to answer any additional questions you may have.",Good
80,Nurse,tell me about yourself,Introduction,"I would characterize myself as a dreamer. It may sound silly considering what we are witnessing right now in the world, but I still dream of having an impact, changing something to better in the world, and leaving my mark. If not in the history of the world, then at least in a personal history of every patient I treat as a nurse. Before any of it can happen, however, I have to earn my nursing degree, and that's the reason why I sit in front of you today. It is an important milestone on my journey. When it comes to free time, I just enjoy spending quality time with family and friends, and working on my language skills. Currently I am trying to learn Spanish and French. And if I should pick my greatest strength, I would definitely pick dedication. If I make up my mind about reaching a goal, I won't give upâ€¦",Good
81,Nurse,tell me about yourself,Introduction,"I'm James, 31, and up to this point I've worked as a certified nursing assistant in a nursing home. Though I liked my job somehow, and tried my best, I have progressively come to a realization that elderly people aren't really the most fitting demographic group for me. I would love to work in a school environment, with young people, and that's why I decided to apply for a position of a school nurse with you. It is easy for me to communicate with young people, to gain their trust, and overall it's a better match to my personality. In my free time I enjoy playing soccer, and going out with friends. Is there anything else you would like to know about me at this point of an interview?",Good
82,Nurse,tell me about yourself,Introduction,"I'm Emily, 23, and I dream of working as a mental health nurse. We have a prevalence of mental health disorders in my family, and I understand better than anyone else what a difference a good nursing care, or a bad one, can make in a life of someone suffering from mental health issues. What's more, I realize that more people than ever struggle with their mental health, and we need more nurses specializing in the field. That's why I am here with you today, trying to get a chance to study at your school, earn my degree, specialize in mental health nursing, and make a positive difference in lives of others. I am mentally resilient, highly organized when it comes to studying or work, and I enjoy company of like-minded people, and cannot wait to meet fellow nursing studentsâ€¦",Good
83,Nurse,tell me about your job,Conclusion,I gave them details about my position.,Poor
84,Nurse,tell me about yourself,Introduction,I am 39 single mother of 2. I have great work ethics very self motivated and i will get the job done. Less,Average
85,Nurse,tell me about yourself,Introduction,"I'm a registered nurse with over 10 years of experience in paediatric nursing. Working in healthcare has always been my desire, as I grew up in a home full of healthcare specialists. My mother was an adult nurse, and my father worked as a paediatric oncologist. It was one of his cases that made me think that paediatric nursing was the right field for me. Just before I chose my A-level subjects, my father treated John, a 5-year-old patient whom he diagnosed with bone cancer.
 
 
 
 It was a challenging experience not only for John but also for my family members because my father would tell us about John and how brave he was while undergoing painful treatment. The only thing that bothered my father was that there weren't enough qualified paediatric nurses to support John in between chemotherapy sessions. The thought of that really affected me, and it was what helped me make the decision to go to nursing school. Even now, I'm grateful for that. Helping and supporting children and their families is what I was born to do.",Good
86,Nurse,tell me about yourself,Introduction,"I started working as a general nurse at a local hospital four years ago, just after graduating from university. Working at a public healthcare facility allowed me to gain a lot of experience and observe how nurses from different specialisations operate. After two years, I transferred to mental health nursing, which seemed the most challenging and interesting out of the four main specialisations in the field. As a mental health nurse, I can build longer-lasting relationships with my patients, which is something I'm good at.",Good
87,Nurse,tell me about yourself,Introduction,"I am a registered nurse with over six years of clinical nursing experience. I also have a postgraduate diploma in emergency nursing. I'm an open-minded and confident person who can make quick and effective decisions under pressure.
 
 
 
 As an ER nurse, my top priority is to keep my patients alive and comfort them until a doctor handles their injuries or illness. To date, I've worked at a private clinic that supported emergency patient cases from a nearby public hospital whenever it had a case overload. I function well under pressure and believe that working full time at a public healthcare facility can allow me to use that ability to help people.",Good
88,Nurse,tell me about yourself,Introduction,Care Manager,Poor
89,Nurse,tell me about yourself,Introduction,"I recently concluded my registration with the Nursing and Midwifery Council after finishing my degree in adult nursing. During my work placements, I worked with many young adults in both surgeries and hospital settings, in addition to older adults. I found the work very fulfilling and discovered I have a talent for helping people open up and share information. In my spare time, I like to read and do some gardening.",Good
90,Nurse,tell me about yourself,Introduction,"Over my last five years as a nurse, I've grown into the role and developed my people skills. Whether it's children or older adults, I know how to quickly understand their concerns and adapt my approach to make them feel comfortable. I think my volunteer experience has contributed to this too. While this has primarily been hospital experience, I've also worked in GP practices and understand the different demands of the work.",Good
91,Nurse,tell me about yourself,Introduction,"After finishing my degree and registration, I started my nursing career in an A&E department. While it was challenging, it enhanced my performance under pressure and exposed me to a wide range of issues. After that, I moved here and worked in a local surgery. The pace was different, but it helped me further develop my skill set. I've enjoyed hiking and swimming since I was young, which helps during the longer shifts when we spend a long time on our feet. I perform better under pressure, which is why I applied for this position.",Good
92,Nurse,tell me about yourself,Introduction,Explained some of my soft skills and how thankful I was for this opportunity,Poor
93,Nurse,tell me something about yourself,Introduction,im dependable,Poor
94,Medical Assistant,why are you leaving your current employer,Behavioral,I want to start getting more healthcare experience to work toward my goal of becoming a medical provider.,Average
95,Medical Assistant,why are you leaving your current employer,Behavioral,"I'm looking for an opportunity to grow and develop my skills. I feel like I've hit a plateau at my current job, and I'm ready for a new challenge that will allow me to have a greater impact on a company's initiatives.",Average
96,Medical Assistant,why are you leaving your current employer,Behavioral,"After spending several years in my current industry, I've developed an interest in transitioning to a different field. While I value the experiences and relationships I've built in my current job, I believe that my skills and transferable knowledge can be leveraged effectively in this new industry.",Good
